subject,topic,question_count
Pathology,Non-Mendelian Inheritance - (Part -1),6
Pathology,Non-Mendelian Inheritance - (Part-2),7
Pathology,Diagnosis of Genetic Disorders,8
Pathology,Mendelian Disorders,5
Pathology,Bleeding & Platelet Disorders,25
Pathology,Coagulation Pathways & Disorders,28
Pathology,Esophagus & Stomach,18
Pathology,Small & Large Intestine,16
Pathology,Inflammatory Bowel Diseases,12
Pathology,Tuberculosis,6
Pathology,Leprosy,6
Pathology,Vascular Events of Inflammation,1
Pathology,Cellular Events of Inflammation,1
Pathology,O2 Independent Killing,1
Pathology,Mediators of Inflammation,33
Pathology,Morphological Types of Acute Inflammation,2
Pathology,Neutrophil Extracellular Traps,1
Pathology,Fate of Acute Inflammation,2
Pathology,Chronic Inflammation,3
Pathology,Defects of Inflammation,3
Pathology,Thrombosis,6
Pathology,Morphology of Thrombosis,5
Pathology,Shock,5
Pathology,Neoplasia  Basics,2
Pathology,Other Hallmarks of Cancer,1
Pathology,Hallmarks of Cancer & Cell Cycle,12
Pathology,Normal Anatomy & Physiology,3
Pathology,Aneurysm,6
Pathology,Vasculitis,21
Pathology,Vascular Tumor,8
Pathology,"Normal Vessel, Hypertensive Changes & Sclerosis",3
Pathology,CNS Tumors,8
Pathology,Lesion of Cervix,8
Pathology,Ovarian Tumors,9
Pathology,Diseases of Uterus,12
Pathology,Gall Bladder Stones,2
Pathology,Ischemic Heart Disease,11
Pathology,Infective Endocarditis,4
Pathology,Hypertrophic Cardiomyopathy,6
Pathology,Tumors of Heart,4
Pathology,Rheumatic Heart Disease,5
Pathology,"Diabetes Criteria, Classifications & Pathophysiology",5
Pathology,Thyroiditis & Thyroid Cancers,21
Pathology,Chronic Pancreatitis,3
Pathology,Pancreatic Carcinoma,4
Pathology,Normal Pancreas Histology & Acute Pancreatitis,3
Pathology,Neuroblastoma,6
Pathology,Wilms Tumor,7
Pathology,Antigen Presenting Cells & MHC,8
Pathology,Hypersensitivity Reactions - (Type-1),8
Pathology,Hypersensitivity Reactions - (Type-3 & 4),9
Pathology,Graft Rejection & GVHD,4
Pathology,Amyloidosis,6
Pathology,Introduction to Immune System Innate & Adaptive Immunity,21
PSM,Biomedical Waste Management,26
PSM,Entomology,26
PSM,Nutrition,64
PSM,Vaccines,19
PSM,Environment & Health,30
PSM,Health Indicators,17
PSM,Communicable Disease,114
PSM,Health Programmes of Inida,96
PSM,Pioneer’s In Public Health,7
PSM,Screening Test,49
PSM,Biostatistics,102
PSM,Levels of Prevention,8
PSM,Demography & Family Planning,68
PSM,Health Planning & Management,14
PSM,Health Committees of India,19
PSM,Infectious Disease Epidemiology,44
PSM,Concept of Health & Disease,15
PSM,Maternal & Child Health,16
PSM,Occupational Health,27
PSM,Health Education & Communication,9
PSM,Non Communicable Disease,23
PSM,Health System of India,49
PSM,Disaster Management,12
Medicine,Acid Base Disorder (Part 1),14
Medicine,Acid Base Disorder - Anion Gap (Part 2),10
Medicine,Electrolyte Abnormalities - Hypernatremia (Part 1),16
Medicine,Electrolyte Abnormalities - Hyponatremia (Part 1),23
Medicine,Urinalysis,13
Medicine,Acute Kidney Injury,9
Medicine,Approach to Glomerular Disease,10
Medicine,Approach To Nephritic Syndromes,15
Medicine,Chronic Kidney Disease,21
Medicine,Cystic Diseases of Kidney ADPKD & ARPKD,11
Medicine,Electrolyte Abnormalities - Pottassium Disorders,17
Medicine,Nephrotic - MCD & Membranous Nephropathy (Part 1),41
Medicine,Nephrotic Syndrome FSGS,5
Medicine,HIV (Part 1),20
Medicine,Pneumonia (Part 2),34
Medicine,HIV - Opportunistic Infections (Part 2),25
Medicine,HIV - Treatment (Part 3),10
Medicine,Infective Endocarditis,14
Medicine,Pneumonia (Part 1),18
Medicine,Asthma (Part 2),11
Medicine,Asthma (Part 1),17
Medicine,Bronchiectasis,10
Medicine,COPD (Part 1),23
Medicine,COPD (Part 2),13
Medicine,Hypersensitivity Pneumonitis,8
Medicine,Interstitial Lung Disease (Part 1),12
Medicine,Interstitial Lung Disease (Part 2),15
Medicine,Lung Physiology (Part 1),17
Medicine,Pulmonary Function Tests (Part 1),5
Medicine,Pulmonary Function Tests (Part 2),13
Medicine,Pulmonary Hypertension,15
Medicine,Sarcoidosis,10
Medicine,Lung Physiology (Part 2),17
Medicine,Pulmonary Embolism,23
Medicine,Heart Murmurs (Part 1),8
Medicine,Heart Murmurs (Part 2),10
Medicine,Heart Sounds S1,7
Medicine,Heart Sounds S2,6
Medicine,"Heart Sounds S3, S4 Ejection Click & OS",7
Medicine,Hypertension,13
Medicine,Ischemic Heart Disease - Coronary Blood Flow,12
Medicine,Ischemic Heart Disease - Risk Factors & Dyslipidemia,7
Medicine,Ischemic Heart Disease - Chest Pain & Investigations,6
Medicine,Ischemic Heart Disease - Stemi,8
Medicine,JVP,6
Medicine,Pericardial Diseases,7
Medicine,Valvular Heart Disease - Aortic Regurgitation,13
Medicine,Valvular Heart Disease - Mitral Regurgitation,19
Medicine,Valvular Heart Disease - Aortic Stenosis,9
Medicine,Valvular Heart Disease - Mitral Stenosis,14
Medicine,Cardiomyopathies (Part 1),13
Medicine,Coarctation of Aorta,7
Medicine,Congenital Heart Disease - Atrial Septal Defect,7
Medicine,Congenital Heart Disease - PDA,1
Medicine,Congenital Heart Disease - VSD,9
Medicine,Cyanotic Congenital Heart Disease (Part 2),7
Medicine,Cyanotic Congenital Heart Disease & TOF,4
Medicine,ECG - Basics & Lead Placement (Part 1),18
Medicine,ECG - Basics & Formation of PQRS Waves (Part 2),10
Medicine,ECG - PQRS & T Wave Abnormalities (Part 3),19
Medicine,ECG - Ventricular Hypertrophies & Axis (Part 4),2
Medicine,ECG & Cardiac Arrythmias,10
Medicine,ECG & Ischemic Heart Disease,13
Medicine,ECG & Cardiac Arrythmias - Atrial Fib & Flutter,13
Medicine,ECG Brugada Wellens Fascicular Block,9
Medicine,ECG Electrolytes & Misc,6
Medicine,"ECG VT,V fib & Heart Blocks",12
Medicine,Heart Failure,11
Medicine,Approach to Shock (Part 1),5
Medicine,ARDS,18
Medicine,Shock - Sepsis (Part 2),11
Medicine,Approach to Muscle Disorders,16
Medicine,Atypical Parkinson’s,24
Medicine,Brainstem Disorders (Part 2),7
Medicine,Brainstem Disorders (Part 1),11
Medicine,Dementia - Alzheimer's Disease (Part 1),27
Medicine,Dementia - Lewy Body Dementia & Vascular Dementia (Part 2),7
Medicine,"Dementia - FTD, Huntington, CJD & NPH (Part 3)",31
Medicine,Motor Neuron Disease,12
Medicine,Multiple Sclerosis,20
Medicine,Nerve Muscle Junction Disorders,16
Medicine,Primary Headache (Part 1),28
Medicine,Primary Headache (Part 2),7
Medicine,Seizures & Epilepsy (Part 3),5
Medicine,Seizures & Epilepsy (Part 1),10
Medicine,Seizures & Epilepsy (Part 2),17
Medicine,Spinal Cord Disorder (Part 2),10
Medicine,Spinal Cord Disorder (Part 1),8
Medicine,Stroke - Stroke Syndromes (Part 2),6
Medicine,Stroke - Acute Ischemic Stroke (Part 4),3
Medicine,Stroke - Hemorrhagic Stroke (Part 5),10
Medicine,Upper Motor Vs Lower Motor Neuron Lesions,1
Medicine,Vertigo (Part 2),3
Medicine,Guillian Barre Syndrome,9
Medicine,Neuro Ophthalmology (Part 1),4
Medicine,Neuro Ophthalmology (Part 2),5
Medicine,Parkinsons Disease,25
Medicine,Movement Disorders (Part 1),10
Medicine,Speech Disorders,10
Medicine,Stroke - Stroke Syndromes (Part 1),12
Medicine,Stroke - Acute Ischemic Stroke (Part 3),17
Medicine,Vertigo (Part 1),5
Medicine,Pheochromocytoma,8
Medicine,Approach to Polyuria (Polyuria),5
Medicine,Calcium Disorders - Hypercalcemia (Part 1),16
Medicine,Calcium Disorders - Hypercalcemia (Part 2),6
Medicine,Calcium Disorders - Hypocalcemia (Part 3),5
Medicine,Calcium Disorders - Hypocalcemia (Part 4),8
Medicine,"Complications of Diabetes, DKA & HHS",11
Medicine,Cushings Syndrome,8
Medicine,Diabetes Mellitus (Part 1),8
Medicine,Diabetes Mellitus (Part 2),22
Medicine,Endocrine Tumors of Pancreas & MEN Syndromes,22
Medicine,Introduction to Endocrinology & SIADH,6
Medicine,Pagets Syndrome,5
Medicine,Pituitary Disorders - Acromegaly (Part 2),10
Medicine,Pituitary Disorders - Prolactinoma (Part 1),11
Medicine,Primary Hyperaldosteronism,5
Medicine,Thyroid (Part 1),14
Medicine,Thyroid (Part 2),17
Medicine,Thyroid (Part 3),22
Medicine,Approach to Arthritis & Rheumatoid Arthritis (Part 1),13
Medicine,Gout Pseudogout & Dish,14
Medicine,Polyarteritis Nodosa & Anca Vasculitis,11
Medicine,Reiter's Psoriatic Gout,25
Medicine,Rheumatoid Arthritis & Ankylosing Spondylitis (Part 2),37
Medicine,Rheumatoid Arthritis (Part 3),18
Medicine,Rheumatoid Arthritis (Part 4),14
Medicine,Scleroderma & Systemic Sclerosis (Part 1),6
Medicine,Sjogrens Syndrome,7
Medicine,Small Vessel Vasculitis Behcets & Kawasaki,52
Medicine,Systemic Lupus Erythematosis (Part 1),16
Medicine,Systemic Lupus Erythematosis (Part 2),14
Medicine,Systemic Sclerosis (Part 2),5
Medicine,Temporal & Takayasu Arteritis,20
Medicine,Tests In Rheumatology & Autoantibodies,17
Medicine,Alcoholic Liver Disease,15
Medicine,Ascites,10
Medicine,Esophageal Disorders & Dysphagia,22
Medicine,Hemochromatosis,12
Medicine,Hepatorenal Syndrome,4
Medicine,Inflammatory Bowel Disease,14
Medicine,"Malabsorption, Celiac Disease & Whipples Disease",15
Medicine,NAFLD & NASH,13
Medicine,Peptic Ulcer Disease,10
Medicine,Diseases of Gall bladder & Bile Ducts,30
Medicine,Wilsons Disease,8
Medicine,Approach to Liver Function Tests,15
Medicine,Hepatitis A & B,19
Medicine,Hepatitis B (Part 2),17
Medicine,Hepatitis C & E,14
Medicine,Anemia & Iron Homoestasis,14
Medicine,Approach to Anemia,16
Medicine,Autoimmune Hemolytic Anemia,5
Medicine,Chronic Lymphocytic Leukemia,5
Medicine,Chronic Myeloid Leukemia,9
Medicine,Hairy Cell Leukemia,5
Medicine,Hemolytic Anemia - Hereditary Sperocytosis,16
Medicine,Hemolytic Anemia - Sickle Cell Disease,5
Medicine,Microcytic Anemia (Part 1),13
Medicine,Plasma Cell Disorders (Part 1),8
Medicine,Plasma Cell Disorders (Part 2),11
Medicine,Macrocytic Anemia,17
Medicine,Myeloproliferative Disorders,15
Medicine,Thalassemia,7
OBG,Eclampsia,23
OBG,Hypertension During Pregnancy,18
OBG,Multiple Pregnancy,22
OBG,Post Term Pregnancy,8
OBG,Preterm Labour,17
OBG,Prom,9
OBG,RH Isoimmunization,8
OBG,Hellp syndrome,2
OBG,Anemia in Pregnancy,12
OBG,Diabetes in Pregnancy,20
OBG,Heart Disease During Pregnancy,12
OBG,Jaundice in Pregnancy,9
OBG,Shoulder Dystocia,6
OBG,Amniotic Fluid & It's Disorders,23
OBG,Aneuploidy Screening,13
OBG,Diagnosis of Pregnancy,9
OBG,Fundamentals of Reproduction,18
OBG,Pregnancy & Antenatal Care,13
OBG,The Placenta & Fetal Membranes,14
OBG,Antenatal Fetal Monitoring,10
OBG,Physiological Changes During Pregnancy,35
OBG,3rd Stage of Labour & It's Management,6
OBG,Abnormal Pelvis,5
OBG,Breech Presentation,7
OBG,Cardinal Movements of Labour,2
OBG,Cesarean Section,10
OBG,Factors Influencing Labour: Power & Passenger,12
OBG,Fetal Skull,5
OBG,Induction & Augmentation,12
OBG,Instrumental Delivery,6
OBG,Malposition,12
OBG,Malpresentation,6
OBG,Obstructed Labour,10
OBG,Partogram,5
OBG,Physiology of Labour,15
OBG,Pverperium Sepsis,12
OBG,Stages of Labour,10
OBG,Abruption,5
OBG,Cervical Incompetence,4
OBG,Ectopic Pregnancy,21
OBG,Medical Termination of Pregnancy (MTP),2
OBG,Miscarriage (Abortion),11
OBG,Molar Pregnancy,8
OBG,Placenta Previa,7
OBG,Post Partum Hemorrhage (PPH),11
OBG,Recent MTP ACT,3
OBG,Anatomy Of External Genitalia,9
OBG,Congenital Mullerian Malformations,16
OBG,Embryology,6
OBG,Internal Genitalia - (Uterus And Fallopian Tube),18
OBG,Internal Genitalia (Vagina And Ovary),21
OBG,Normal & Abnormal Puberty,22
OBG,Reproductive Physiology,9
OBG,Adnexal Management,15
OBG,Cervical Cancer,29
OBG,Endometrial Carcinoma,11
OBG,Epithelial Ovarian Cancer,22
OBG,Germ Cell And Sex Cord Storms Cancer,23
OBG,Gestational Trophoblastic Neoplasia,6
OBG,Mnemonics to Remember Cancer Staging,7
OBG,Premalignant Lesion Of Endometrium,10
OBG,Premalignant Lesions Of Cervix,15
OBG,Vulval Cancer,6
OBG,Abdnomal Uterine Bleeding,25
OBG,Endometriosis,23
OBG,Pelvic Inflammatory Disease,27
OBG,Uterine Fibroids,32
OBG,Vaginitis,19
OBG,Emergency Contraception,2
OBG,Hormonal Contraception,14
OBG,Missed pill management,9
OBG,Natural Family Planning Method And Barrier Method,14
OBG,Permanent Sterilisation,7
OBG,Artificial Reproductive Technology,8
OBG,Female Infertility,22
OBG,Hirusitsm,9
OBG,Male Infertility,17
OBG,Menopause And HRT,17
OBG,PCOS,24
OBG,Primary Amenorrhea,27
OBG,Genital Fistula,8
OBG,Genital Prolapse,23
OBG,Urinary Incontinence,11
Biochemistry,Classification of Carbohydrates & Mucopolysaccharidosis,32
Biochemistry,Glucose Transport,11
Biochemistry,Image Based Questions,10
Biochemistry,Enzymes Basics & Classification,13
Biochemistry,Enzyme Kinetics & Enzyme Inhibition,13
Biochemistry,Enzyme Regulation & Uses of Enzymes,13
Biochemistry,Four Formulas,16
Biochemistry,"Metabolism in Fed, Fasting, Starvation & Diabetic States",11
Biochemistry,Carbohydrates Basics & Cell Organelles,15
Biochemistry,Lipid Chemistry & Sphingolipidoses,15
